slope,vibration,moisture
0,0.0001,0
0,0.0001,0
0,0.0001,0
0,0.0001,0
0,0.0001,10
0,0.0001,10
0,0.0001,10
0,0.0001,10
0,0.0001,15
0,0.0001,15
0,0.0001,16
0,0.0001,17
0,0.0001,20
0,0.0001,23
0,0.0001,25
0,0.0001,30
0,0.0001,32
0,0.0001,35
0,0.0001,37
0,0.0001,39
0,0.0001,43
0,0.0001,46
0,0.0001,48
0,0.0001,51
0,0.0001,55
0,0.0001,60
0,0.0001,65
0,0.0001,70
0,0.0001,75
0,0.0001,80
0,0.0001,85
0,0.0001,90
0,0.0001,95
0,0.0001,100
0,0.0009,0
0,0.0009,0
0,0.0009,0
0,0.0009,0
0,0.0009,10
0,0.0009,10
0,0.0009,10
0,0.0009,10
0,0.0009,15
0,0.0009,15
0,0.0009,16
0,0.0009,17
0,0.0009,20
0,0.0009,23
0,0.0009,25
0,0.0009,30
0,0.0009,32
0,0.0009,35
0,0.0009,37
0,0.0009,39
0,0.0009,43
0,0.0009,46
0,0.0009,48
0,0.0009,51
0,0.0009,55
0,0.0009,60
0,0.0009,65
0,0.0009,70
0,0.0009,75
0,0.0009,80
0,0.0009,85
0,0.0009,90
0,0.0009,95
0,0.0009,100
0,0.0012,0
0,0.0012,0
0,0.0012,0
0,0.0012,0
0,0.0012,10
0,0.0012,10
0,0.0012,10
0,0.0012,10
0,0.0012,15
0,0.0012,15
0,0.0012,16
0,0.0012,17
0,0.0012,20
0,0.0012,23
0,0.0012,25
0,0.0012,30
0,0.0012,32
0,0.0012,35
0,0.0012,37
0,0.0012,39
0,0.0012,43
0,0.0012,46
0,0.0012,48
0,0.0012,51
0,0.0012,55
0,0.0012,60
0,0.0012,65
0,0.0012,70
0,0.0012,75
0,0.0012,80
0,0.0012,85
0,0.0012,90
0,0.0012,95
0,0.0012,100
0,0.0017,0
0,0.0017,0
0,0.0017,0
0,0.0017,0
0,0.0017,10
0,0.0017,10
0,0.0017,10
0,0.0017,10
0,0.0017,15
0,0.0017,15
0,0.0017,16
0,0.0017,17
0,0.0017,20
0,0.0017,23
0,0.0017,25
0,0.0017,30
0,0.0017,32
0,0.0017,35
0,0.0017,37
0,0.0017,39
0,0.0017,43
0,0.0017,46
0,0.0017,48
0,0.0017,51
0,0.0017,55
0,0.0017,60
0,0.0017,65
0,0.0017,70
0,0.0017,75
0,0.0017,80
0,0.0017,85
0,0.0017,90
0,0.0017,95
0,0.0017,100
0,0.0025,0
0,0.0025,0
0,0.0025,0
0,0.0025,0
0,0.0025,10
0,0.0025,10
0,0.0025,10
0,0.0025,10
0,0.0025,15
0,0.0025,15
0,0.0025,16
0,0.0025,17
0,0.0025,20
0,0.0025,23
0,0.0025,25
0,0.0025,30
0,0.0025,32
0,0.0025,35
0,0.0025,37
0,0.0025,39
